product_id,product_name,brand,category,gender,season,price,cost,size_range,color_options,launch_date,is_active
PRD00001,Puma Sneakers Classic,Puma,Sneakers,Women,Fall/Winter,94.0,56.4,37-44,7,2022-11-09,False
PRD00002,Ellie Slippers Comfort,Ellie,Slippers,Kids,Spring/Summer,34.98,20.99,36-46,4,2020-03-19,True
PRD00003,Graceland Kids Shoes Style,Graceland,Kids Shoes,Kids,All Season,122.23,73.34,35-45,6,2021-01-24,True
PRD00004,Deichmann Kids Shoes Premium,Deichmann,Kids Shoes,Men,All Season,140.31,84.19,36-44,5,2020-05-23,True
PRD00005,Graceland Casual Shoes Premium,Graceland,Casual Shoes,Men,All Season,137.0,82.2,37-45,4,2022-04-04,True
PRD00006,Rieker Sandals Style,Rieker,Sandals,Women,Fall/Winter,106.43,63.86,36-46,6,2021-09-08,False
PRD00007,Rieker Sneakers Premium,Rieker,Sneakers,Kids,Fall/Winter,47.31,28.39,37-45,5,2022-06-24,True
PRD00008,Rieker High Heels Premium,Rieker,High Heels,Women,All Season,31.01,18.61,37-42,8,2024-03-18,True
PRD00009,Ellie Sports Shoes Classic,Ellie,Sports Shoes,Women,Spring/Summer,39.15,23.49,36-45,6,2024-10-06,True
PRD00010,Tamaris Kids Shoes Style,Tamaris,Kids Shoes,Women,All Season,110.52,66.31,38-43,3,2023-09-05,True
PRD00011,Nike Kids Shoes Premium,Nike,Kids Shoes,Women,Spring/Summer,186.79,112.07,38-42,6,2021-05-25,True
PRD00012,Tamaris Sandals Premium,Tamaris,Sandals,Unisex,All Season,89.04,53.42,37-45,6,2024-07-27,False
PRD00013,Rieker High Heels Style,Rieker,High Heels,Women,All Season,131.98,79.19,37-43,8,2023-07-29,True
PRD00014,Rieker High Heels Comfort,Rieker,High Heels,Women,Fall/Winter,77.17,46.3,36-44,4,2021-10-16,True
PRD00015,Adidas Sandals Sport,Adidas,Sandals,Women,Fall/Winter,165.31,99.18,35-45,5,2021-11-08,False
PRD00016,Skechers Sneakers Premium,Skechers,Sneakers,Women,Fall/Winter,70.62,42.37,35-46,5,2022-09-03,True
PRD00017,Converse Sports Shoes Premium,Converse,Sports Shoes,Unisex,Fall/Winter,89.96,53.98,36-45,3,2021-07-12,False
PRD00018,Tamaris Sneakers Style,Tamaris,Sneakers,Unisex,Fall/Winter,106.94,64.17,36-45,3,2023-06-28,True
PRD00019,Skechers Sneakers Style,Skechers,Sneakers,Men,All Season,75.71,45.43,36-42,4,2022-02-15,True
PRD00020,Puma High Heels Style,Puma,High Heels,Kids,Fall/Winter,178.42,107.05,37-45,4,2024-09-05,True
PRD00021,Tamaris Sneakers Classic,Tamaris,Sneakers,Men,Fall/Winter,49.14,29.48,35-42,3,2021-02-12,True
PRD00022,Graceland Sandals Classic,Graceland,Sandals,Women,Spring/Summer,81.55,48.93,36-45,7,2021-06-08,True
PRD00023,Adidas Boots Classic,Adidas,Boots,Women,Fall/Winter,51.06,30.64,37-46,7,2022-02-07,False
PRD00024,Victory Formal Shoes Sport,Victory,Formal Shoes,Men,All Season,109.77,65.86,35-44,8,2023-11-02,True
PRD00025,Graceland Sneakers Comfort,Graceland,Sneakers,Kids,All Season,75.68,45.41,35-46,7,2021-11-29,True
PRD00026,Skechers High Heels Style,Skechers,High Heels,Men,Fall/Winter,144.89,86.94,36-45,3,2024-02-11,True
PRD00027,Graceland Slippers Premium,Graceland,Slippers,Unisex,Fall/Winter,76.61,45.97,37-44,8,2021-05-17,True
PRD00028,Vans High Heels Style,Vans,High Heels,Women,Fall/Winter,94.07,56.44,37-42,5,2024-10-08,True
PRD00029,Adidas High Heels Comfort,Adidas,High Heels,Women,Fall/Winter,185.56,111.34,37-46,7,2021-07-19,True
PRD00030,Rieker Formal Shoes Style,Rieker,Formal Shoes,Men,Spring/Summer,113.6,68.16,36-45,7,2023-12-28,False
PRD00031,Tamaris Sneakers Sport,Tamaris,Sneakers,Men,Fall/Winter,48.8,29.28,37-46,4,2022-08-27,True
PRD00032,Skechers Slippers Comfort,Skechers,Slippers,Kids,Fall/Winter,111.36,66.82,37-44,3,2020-09-04,True
PRD00033,Converse Boots Style,Converse,Boots,Women,Spring/Summer,48.12,28.87,37-46,8,2022-12-10,True
PRD00034,Nike Formal Shoes Comfort,Nike,Formal Shoes,Kids,Spring/Summer,100.36,60.21,35-46,3,2021-07-15,True
PRD00035,Deichmann Slippers Style,Deichmann,Slippers,Kids,All Season,142.72,85.63,35-42,6,2021-08-05,False
PRD00036,Tamaris High Heels Comfort,Tamaris,High Heels,Kids,Spring/Summer,145.5,87.3,38-42,8,2020-05-13,False
PRD00037,Tamaris Boots Premium,Tamaris,Boots,Men,Spring/Summer,39.39,23.63,37-42,3,2020-08-30,False
PRD00038,Graceland Formal Shoes Comfort,Graceland,Formal Shoes,Unisex,Fall/Winter,138.1,82.86,38-44,6,2023-06-25,True
PRD00039,Graceland Boots Classic,Graceland,Boots,Women,All Season,47.42,28.45,36-43,3,2023-02-04,True
PRD00040,Adidas Sneakers Style,Adidas,Sneakers,Unisex,Fall/Winter,164.41,98.65,37-42,3,2021-08-13,True
PRD00041,Victory High Heels Comfort,Victory,High Heels,Men,All Season,50.34,30.2,36-45,2,2023-01-20,True
PRD00042,Ellie Sandals Sport,Ellie,Sandals,Kids,Spring/Summer,29.27,17.56,37-46,7,2024-08-15,True
PRD00043,Tamaris Boots Style,Tamaris,Boots,Unisex,All Season,59.52,35.71,37-46,6,2022-10-08,False
